"userid","date.inscr","date.dern.lect","Resiliation","Reachat","Country","mail.spont","score.ouv.news","n.ventes","revenues","gender"
1,"2011-09-17","2011-10-07",0,0,"Germany",0,1.49583411412246,11,0,1
2,"2017-01-17","2017-01-31",0,0,"UK",1,8.94686264387116,56,20.7228618033709,1
3,"2019-05-14","2019-06-17",0,0,"France",1,2.49619943572884,13,31.3992773574411,1
4,"2015-11-27","2016-01-15",0,0,"Spain",1,2.82357919213828,32,0,0
5,"2014-11-28","2015-01-15",0,1,"UK",0,2.11743257704757,21,38.5102248697512,0
6,"2017-06-05","2017-07-03",0,0,"France",0,1.70001438645869,14,23.1122058537305,1
7,"2010-09-22","2010-11-22",1,0,"France",1,0.950462875610271,10,0,0
8,"2018-02-22","2018-04-01",1,0,"France",0,1.16534054351791,9,31.4413041434598,0
9,"2018-04-10","2018-05-11",0,0,"Germany",0,0.908550083341577,6,22.4180511386585,1
10,"2015-04-23","2015-05-14",1,0,"Spain",0,3.04664537224296,31,0,1
11,"2010-06-23","2010-08-27",1,0,"Germany",0,1.77784912288978,25,35.9354931823672,0
12,"2019-06-29","2019-08-04",0,0,"France",0,0.995940100835749,6,39.0066292146471,1
13,"2016-11-03","2017-01-06",0,0,"UK",0,1.86678523480816,15,0,0
14,"2010-10-08","2010-11-08",0,0,"France",0,2.16010199274043,18,0,1
15,"2010-02-21","2010-03-12",0,0,"Spain",0,2.58352163131645,33,0,0
16,"2019-11-27","2019-12-23",0,1,"UK",0,1.25839663752814,11,23.023077907268,1
17,"2014-03-07","2014-03-30",0,0,"Spain",0,0.856392582666066,5,25.8799711698611,1
18,"2011-06-16","2011-07-03",0,0,"UK",0,1.58813778696384,12,15.4605914950718,1
19,"2012-09-13","2012-11-11",0,1,"France",0,0.73915213464304,5,0,0
20,"2012-08-13","2012-09-01",0,0,"Germany",0,2.55587270481588,22,0,1
21,"2010-08-29","2010-09-21",0,0,"Germany",0,2.2892229244529,19,0,1
22,"2013-05-21","2013-06-30",0,1,"France",0,0.730332306468533,5,34.6939543918731,1
23,"2013-03-03","2013-03-17",0,0,"France",0,0.98391655678494,6,0,1
24,"2018-11-04","2018-12-12",0,0,"Spain",0,3.11234176528793,28,18.8483755297583,1
25,"2015-11-26","2015-12-29",0,0,"Germany",1,1.89401152218972,9,39.0141054770711,1
26,"2013-07-12","2013-08-08",0,0,"UK",0,2.90253193825966,26,0,1
27,"2015-06-08","2015-07-17",0,0,"Spain",0,1.65106843351673,13,2.02509544211103,1
28,"2016-11-12","2016-12-13",0,0,"Spain",1,2.91649712141954,16,0,1
29,"2017-04-24","2017-06-09",0,0,"Germany",1,1.4814076278762,15,14.201699309054,0
30,"2013-02-22","2013-03-31",1,1,"France",0,1.01767358483335,10,33.7845081006689,0
31,"2013-03-16","2013-05-14",0,0,"Spain",0,0.562208173970525,5,0,0
32,"2011-12-25","2012-03-02",0,0,"Spain",0,2.17045971637042,18,29.1319575395555,0
33,"2014-05-18","2014-07-11",0,0,"Spain",1,1.40512279288863,14,36.5282835133462,0
34,"2015-07-21","2015-09-14",0,0,"UK",0,1.82495142502557,15,0,0
35,"2013-05-26","2013-07-01",0,1,"Germany",1,1.01668115403258,4,50.1414890922201,1
36,"2009-09-04","2009-09-20",0,0,"UK",0,1.81919257141416,15,0,1
37,"2014-07-10","2014-08-13",0,0,"UK",0,1.11858769358089,8,46.4405265981759,1
38,"2019-08-28","2019-09-15",0,0,"UK",1,1.11337996706534,4,37.2818377314627,1
39,"2013-07-17","2013-08-28",0,1,"Germany",1,2.8454720786201,18,17.521465562186,1
40,"2009-07-23","2009-08-18",0,0,"Germany",0,3.40013886753595,32,0,1
41,"2009-06-03","2009-07-30",0,0,"UK",1,0.918692103397855,8,0,0
42,"2016-06-02","2016-06-27",1,1,"Spain",0,2.29060517197973,26,0,1
43,"2012-12-20","2012-12-22",0,0,"UK",0,2.8994091848677,25,0,1
44,"2015-07-14","2015-07-26",0,0,"UK",0,1.15229572273818,8,28.5108474064089,1
45,"2011-08-13","2011-09-06",0,0,"France",1,2.7526624872649,15,29.932237650235,1
46,"2018-11-12","2019-01-05",0,0,"Germany",1,1.97879704328528,32,0,0
47,"2013-08-20","2013-09-12",0,0,"Germany",0,1.14084824175159,8,0,1
48,"2018-01-17","2018-02-14",1,1,"Spain",0,0.58519306530213,7,27.0741145122286,0
49,"2014-06-05","2014-06-13",0,1,"UK",0,1.1548170392353,10,0,1
50,"2016-07-15","2016-07-21",0,0,"Germany",0,0.977201295973792,6,46.4427299562346,1
51,"2017-10-06","2017-10-30",0,1,"France",0,1.99827701844519,19,20.5422267784232,1
52,"2016-12-20","2017-01-20",0,0,"Spain",1,2.34288176300681,12,27.4859140731763,1
53,"2010-04-29","2010-05-19",0,0,"Germany",1,3.34382367412523,19,0,1
54,"2016-06-01","2016-07-01",0,0,"France",0,1.91351131064542,16,14.6123145143315,0
55,"2015-03-15","2015-05-15",0,0,"Spain",1,3.67586394606792,42,35.8255822774505,0
56,"2013-03-17","2013-05-08",0,0,"Germany",0,3.22054363721476,29,0,0
