"ID","Date d'entretien","Date de signature","Ajout mail rapide","Création de compte rapide","Obtention de l'ordinateur rapide","Réunion sur l'équipement rapide","Score de satisfaction Onboarding","Nombre d'emails envoyés","Nombre de meetings"
1,"2011-09-17","2011-10-07",0,0,0,0,1.49583411412246,11,6
2,"2017-01-17","2017-01-31",0,0,0,1,8.94686264387116,56,6
3,"2019-05-14","2019-06-17",0,0,0,1,2.49619943572884,13,4
4,"2015-11-27","2016-01-15",0,0,0,1,2.82357919213828,32,2
5,"2014-11-28","2015-01-15",0,1,0,0,2.11743257704757,21,4
6,"2017-06-05","2017-07-03",0,0,0,0,1.70001438645869,14,6
7,"2010-09-22","2010-11-22",1,0,0,1,0.950462875610271,10,4
8,"2018-02-22","2018-04-01",1,0,0,0,1.16534054351791,9,3
9,"2018-04-10","2018-05-11",0,0,0,0,0.908550083341577,6,4
10,"2015-04-23","2015-05-14",1,0,0,0,3.04664537224296,31,5
11,"2010-06-23","2010-08-27",1,0,1,0,1.77784912288978,25,1
12,"2019-06-29","2019-08-04",0,0,0,0,0.995940100835749,6,5
13,"2016-11-03","2017-01-06",0,0,0,0,1.86678523480816,15,2
14,"2010-10-08","2010-11-08",0,0,0,0,2.16010199274043,18,3
15,"2010-02-21","2010-03-12",0,0,1,0,2.58352163131645,33,2
16,"2019-11-27","2019-12-23",0,1,0,0,1.25839663752814,11,2
17,"2014-03-07","2014-03-30",0,0,0,0,0.856392582666066,5,7
18,"2011-06-16","2011-07-03",0,0,0,0,1.58813778696384,12,3
19,"2012-09-13","2012-11-11",0,1,0,0,0.73915213464304,5,2
20,"2012-08-13","2012-09-01",0,0,0,0,2.55587270481588,22,4
21,"2010-08-29","2010-09-21",0,0,0,0,2.2892229244529,19,5
22,"2013-05-21","2013-06-30",0,1,0,0,0.730332306468533,5,1
23,"2013-03-03","2013-03-17",0,0,0,0,0.98391655678494,6,5
24,"2018-11-04","2018-12-12",0,0,0,0,3.11234176528793,28,2
25,"2015-11-26","2015-12-29",0,0,0,1,1.89401152218972,9,5
26,"2013-07-12","2013-08-08",0,0,0,0,2.90253193825966,26,3
27,"2015-06-08","2015-07-17",0,0,0,0,1.65106843351673,13,3
28,"2016-11-12","2016-12-13",0,0,0,1,2.91649712141954,16,3
29,"2017-04-24","2017-06-09",0,0,0,1,1.4814076278762,15,2
30,"2013-02-22","2013-03-31",1,1,0,0,1.01767358483335,10,1
31,"2013-03-16","2013-05-14",0,0,1,0,0.562208173970525,5,1
32,"2011-12-25","2012-03-02",0,0,0,0,2.17045971637042,18,4
33,"2014-05-18","2014-07-11",0,0,0,1,1.40512279288863,14,4
34,"2015-07-21","2015-09-14",0,0,0,0,1.82495142502557,15,4
35,"2013-05-26","2013-07-01",0,1,0,1,1.01668115403258,4,6
36,"2009-09-04","2009-09-20",0,0,0,0,1.81919257141416,15,7
37,"2014-07-10","2014-08-13",0,0,0,0,1.11858769358089,8,6
38,"2019-08-28","2019-09-15",0,0,1,1,1.11337996706534,4,6
39,"2013-07-17","2013-08-28",0,1,0,1,2.8454720786201,18,3
40,"2009-07-23","2009-08-18",0,0,1,0,3.40013886753595,32,3
41,"2009-06-03","2009-07-30",0,0,0,1,0.918692103397855,8,5
42,"2016-06-02","2016-06-27",1,1,0,0,2.29060517197973,26,4
43,"2012-12-20","2012-12-22",0,0,0,0,2.8994091848677,25,7
44,"2015-07-14","2015-07-26",0,0,0,0,1.15229572273818,8,2
45,"2011-08-13","2011-09-06",0,0,0,1,2.7526624872649,15,7
46,"2018-11-12","2019-01-05",0,0,1,1,1.97879704328528,32,3
47,"2013-08-20","2013-09-12",0,0,0,0,1.14084824175159,8,2
48,"2018-01-17","2018-02-14",1,1,1,0,0.58519306530213,7,2
49,"2014-06-05","2014-06-13",0,1,0,0,1.1548170392353,10,4
50,"2016-07-15","2016-07-21",0,0,0,0,0.977201295973792,6,2
51,"2017-10-06","2017-10-30",0,1,0,0,1.99827701844519,19,6
52,"2016-12-20","2017-01-20",0,0,0,1,2.34288176300681,12,5
53,"2010-04-29","2010-05-19",0,0,0,1,3.34382367412523,19,9
54,"2016-06-01","2016-07-01",0,0,0,0,1.91351131064542,16,3
55,"2015-03-15","2015-05-15",0,0,0,1,3.67586394606792,42,4
56,"2013-03-17","2013-05-08",0,0,0,0,3.22054363721476,29,2
57,"2012-04-13","2012-05-11",0,0,0,1,4.77697748560695,28,6
58,"2011-06-22","2011-07-21",1,0,0,1,6.27960839350218,44,3
59,"2017-08-07","2017-10-03",0,0,0,0,0.825908508650574,5,3
60,"2013-12-17","2014-02-13",0,1,1,0,1.14384763175821,16,2
61,"2016-12-11","2016-12-29",0,0,0,0,2.65610439572434,23,3
62,"2012-02-25","2012-04-29",0,0,0,1,1.59011237082868,16,3
63,"2015-10-20","2015-11-06",0,0,1,0,1.33260160249428,11,4
64,"2012-01-10","2012-02-27",0,0,0,1,1.77393648761375,19,2
65,"2019-01-20","2019-03-14",1,0,1,0,0.611690524688251,6,3
66,"2010-10-28","2010-12-12",0,0,0,0,1.63030459898278,13,2
67,"2015-07-31","2015-08-24",1,0,0,0,2.26202677973587,22,3
68,"2012-01-31","2012-03-18",0,0,0,0,1.4340369889416,11,3
